date,NDVIS1,NDVIS2,Ec,Ei,Es,PML,GLDAS,MD0.5km,MD1km,Terra_Cl,SMAP,WAPOR,S2
1-Nov-17,0.212,0.2885,1.769,0.109,0.878,2.756,1.897,1.55,3.535,,1.87,24.006,0
1-Dec-17,,0.389,2.297,0.235,1.016,3.548,3.715,2.852,3.817,,3.353,32.267,0
1-Jan-18,,,2.659,0.266,0.714,3.639,4.362,3.895,4.094,,3.782,39.739,0
1-Feb-18,,,2.663,0.345,0.638,3.646,4.473,4.117,3.575,,3.751,35.198,0
1-Mar-18,,,2.56,0.326,0.558,3.444,4.325,4.477,3.886,,3.764,34.421,0
1-Apr-18,,,2.198,0.165,0.578,2.941,3.385,3.667,2.857,,3.402,32.261,
1-May-18,,,1.656,0.066,0.555,2.277,2.349,2.586,2.363,,2.17,27.462,
1-Jun-18,,,1.252,0.003,0.116,1.371,1.359,1.538,1.677,,1.443,22.596,
1-Jul-18,,,0.875,0.015,0.075,0.965,0.703,1.187,1.115,,0.903,16.538,
1-Aug-18,,,1.118,0,0.046,1.164,0.394,0.816,0.784,,1.189,19.998,
1-Sep-18,,,1.193,0.002,0.013,1.208,0.209,0.583,0.502,,1,16.196,
1-Oct-18,,,1.304,0.016,0.149,1.469,0.455,0.681,0.846,,0.902,17.212,
1-Nov-18,,,1.54,0.077,0.873,2.49,1.536,1.136,2.854,,1.4,21.857,
1-Dec-18,,,1.762,0.205,1.52,3.487,3.732,2.186,3.657,,3.235,27.478,
1-Jan-19,,,2.168,0.253,1.046,3.467,4.315,3.747,3.462,,3.985,31.652,
