date,Ec,Ei,Es,PML,GLDAS,MOS16A2.006,MOD16A2,Terra_Cl,WAPOR,SMAP,MulStnNDVI,SerStnNDVI,SerStn,MulStn
1-Oct-16,1.216,0.007,0.048,1.271,0.275,0.376,0.311,,15.79,0.786,0.146142857,0.237,-7.623950663,-5
1-Nov-16,1.486,0.072,0.882,2.44,1.723,0.956,2.433,,23.104,1.469,0.143333333,0.271,-16.19525713,-17
1-Dec-16,1.954,0.18,1.271,3.405,3.85,2.655,4.084,,30.763,3.006,0.1465,0.3225,28.64479782,34
1-Jan-17,2.033,0.289,0.813,3.135,4.067,3.492,3.509,,32.27,3.505,0.153166667,0.3835,75.61006635,78
1-Feb-17,2.151,0.289,0.691,3.131,4.124,3.752,3.351,,35.122,3.84,0.163666667,0.4295,70.62959846,73
1-Mar-17,1.967,0.255,0.565,2.787,3.712,4.514,3.725,,30.666,3.776,0.184166667,0.479,73.25562542,80
1-Apr-17,1.843,0.135,0.5,2.478,3.086,4.026,2.76,,29.239,3.511,0.195333333,0.4715,73.63753464,75
1-May-17,1.628,0.066,0.538,2.232,2.354,2.941,2.032,,28.824,2.527,0.195166667,0.4265,67.55033396,0
1-Jun-17,1.363,0.011,0.185,1.559,1.451,1.915,1.353,,24.46,1.597,0.184,0.3645,60.58240699,0
1-Jul-17,1.149,0.006,0.054,1.209,0.829,1.335,0.952,,21.835,1.237,0.1665,0.276,40.6651327,0
1-Aug-17,1.103,0.002,0.011,1.116,0.38,0.966,0.62,,20.133,1.011,0.1595,0.2295,29.08339053,0
1-Sep-17,1.211,0,0.008,1.219,0.205,0.601,0.445,,15.702,1.012,0.1595,0.21,17.39372796,0
1-Oct-17,1.353,0.02,0.173,1.546,0.479,0.582,0.686,,17.126,1.015,0.179714286,0.228,-3.2719855,0
1-Nov-17,1.769,0.109,0.878,2.756,1.897,1.55,3.535,,24.006,1.87,0.212,0.2885,3.640898626,0
1-Dec-17,2.297,0.235,1.016,3.548,3.715,2.852,3.817,,32.267,3.353,,0.389,53.81313858,0
1-Jan-18,2.659,0.266,0.714,3.639,4.362,3.895,4.094,,39.739,3.782,,,80.16302627,0
1-Feb-18,2.663,0.345,0.638,3.646,4.473,4.117,3.575,,35.198,3.751,,,76.93164244,0
1-Mar-18,2.56,0.326,0.558,3.444,4.325,4.477,3.886,,34.421,3.764,,,65.12202711,0
1-Apr-18,2.198,0.165,0.578,2.941,3.385,3.667,2.857,,32.261,3.402,,,,
1-May-18,1.656,0.066,0.555,2.277,2.349,2.586,2.363,,27.462,2.17,,,,
1-Jun-18,1.252,0.003,0.116,1.371,1.359,1.538,1.677,,22.596,1.443,,,,
1-Jul-18,0.875,0.015,0.075,0.965,0.703,1.187,1.115,,16.538,0.903,,,,
1-Aug-18,1.118,0,0.046,1.164,0.394,0.816,0.784,,19.998,1.189,,,,
1-Sep-18,1.193,0.002,0.013,1.208,0.209,0.583,0.502,,16.196,1,,,,
1-Oct-18,1.304,0.016,0.149,1.469,0.455,0.681,0.846,,17.212,0.902,,,,
1-Nov-18,1.54,0.077,0.873,2.49,1.536,1.136,2.854,,21.857,1.4,,,,
1-Dec-18,1.762,0.205,1.52,3.487,3.732,2.186,3.657,,27.478,3.235,,,,
1-Jan-19,2.168,0.253,1.046,3.467,4.315,3.747,3.462,,31.652,3.985,,,,
